Material Group,MG Description ,PGr,PGr Description,
3179,roof vent:wind drive,332,Social Srv. 2,
3180,solar heating units,333,Social Srv. 3,
3182,"stoves, wood or coal",334,Social Srv. 4,
3187,testing/record instr,335,Social Srv. 5,
3189,thermometers/gauges,336,Social Srv. 6,
3191,unit heaters:electr,337,Social Srv. 7,
3192,unit heater:gas fire,338,Social Srv. 8,
3193,unit heat:gas rad,339,Social Srv. 9,
3194,unit heater:steam,340,HR,
3195,ventilation equip,341,HR 1,
3196,vent pipe fitting/ac,342,HR 2,
3197,vacuum sys centr,343,HR 3,
3502,"ac unit, aircraft",344,HR 4,
3503,aeronautic chart/map,345,HR 5,
3504,aircraft avionics,346,HR 6,
3505,aircraft crash locat,347,HR 7,
3506,aircraft acc noc,348,HR 8,
3507,aircraft fusel/comp,349,HR 9,
3508,aircraft fenders,350,Visitor Bureau,
3509,aircraft communi,351,Visitor Bureau 1,
3510,aircraft navigation,352,Visitor Bureau 2,
3511,aircraft ctl sys,353,Visitor Bureau 3,
3515,aircraft radar,354,Visitor Bureau 4,
3516,aircraft rem oper,355,Visitor Bureau 5,
3520,airplanes,356,Visitor Bureau 6,
3521,airships,357,Visitor Bureau 7,
3522,airport equip noc,358,Visitor Bureau 8,
3523,airport equ grd pwr,359,Visitor Bureau 9,
3525,automatic pilot syst,360,PU/WWW,
3526,baggage handling,361,PU/WWW1,
3527,beacons:visual/rnwy,362,PU/WWW2,
3528,camera:aerial photo,363,PU/WWW3,
3529,drop equip: aerial,364,PU/WWW4,
3530,engine/part:airplane,365,PU/WWW5,
3531,encryp/decryp:aircr,366,PU/WWW6,
3532,eject/escape aircraf,367,PU/WWW7,
3535,engine/part:helicopt,368,PU/WWW8,
3537,engine instruments,369,PU/WWW9,
3540,"equip/sup, airplane",190,PW/Pub Srv.,
3544,fire ctrl sys:arcrft,370,PW/Pub Srv.,
3545,equip/sup:nav helico,371,PW/Pub Srv. 1,
3546,flight instrum.,372,PW/Pub Srv. 2,
3547,flight simulator,373,PW/Pub Srv. 3,
3548,gliders,374,PW/Pub Srv. 4,
3549,"hydrau sys, aircraft",375,PW/Pub Srv. 5,
3550,helicopters,376,PW/Pub Srv. 6,
3552,hot air balloons,377,PW/Pub Srv. 7,
3554,info dis sys flight,378,PW/Pub Srv. 8,
3555,instrument land sys,379,PW/Pub Srv. 9,
3560,"instru/tstrs, airpla",380,Fleet,
3565,instr/tester helicop,381,Fleet 1,
3566,landing/braking sys,382,Fleet 2,
3567,light:anti-collision,383,Fleet 3,
3568,metal crack detect,384,Fleet 4,
3569,magnatomtr secur equ,385,Fleet 5,
3570,"parts, airplane",386,Fleet 6,
3571,"oxyg equip, aircraft",387,Fleet 7,
3572,parachutes,388,Fleet 8,
3575,"part, helicop",389,Fleet 9,
3576,"power sys, aircraft",390,Warehouse,
3577,"photographs, aerial",391,Warehouse 1,
3578,ramps:aircraft board,392,Warehouse 2,
3579,recy aircraf equip,393,Warehouse 3,
3580,snow melter,394,Warehouse 4,
3581,sweeper runway,395,Warehouse 5,
3582,taxiway/runway test,396,Warehouse 6,
3583,tank:fuel (aircraft),397,Warehouse 7,
3585,"tools, airplane",398,Warehouse 8,
3590,"tools, helicopter",399,Warehouse 9,
3591,tow bar aircraft,400,Magistrate,
3592,"wind tee/sock, airp",401,Magistrate 1,
3593,tug/tractor aircraft,402,Magistrate 2,
3594,warn sy aircra,403,Magistrate 3,
3595,x-ray scanner,404,Magistrate 4,
3700,amusement/décor,405,Magistrate 5,
3718,bar equip/acc,406,Magistrate 6,
3723,card greet/gift,407,Magistrate 7,
3725,carnival/fair equip,408,Magistrate 8,
3728,collecti:coin/stamp,409,Magistrate 9,
3734,"decoration, party",410,PU/GAS,
3735,decor house/off item,411,PU/GAS1,
3743,gifts,412,PU/GAS2,
3752,novelty/advertising,413,PU/GAS3,
3756,"paper, crepe",414,PU/GAS4,
3763,"recyc deco, game/toy",415,PU/GAS5,
3764,"replicas food, fruit",416,PU/GAS6,
3775,soda fount equip,417,PU/GAS7,
3778,souvenirs promo adv,418,PU/GAS8,
3784,toys/games not educ,419,PU/GAS9,
3788,video game machines,420,Parks,
3789,video games,421,Parks 1,
4001,"amphibia, live",422,Parks 2,
4002,animal carriers,423,Parks 3,
4003,animal care supplies,424,Parks 4,
4004,animal train equip,425,Parks 5,
4005,bees,426,Parks 6,
4007,birds,427,Parks 7,
4008,cages/shelter,428,Parks 8,
4009,"cats,  (pets)",429,Parks 9,
4010,"cattle, beef (brd)",430,Recreation,
4011,"cattle, beef (comm)",431,Recreation 1,
4020,"cattle, dairy",432,Recreation 2,
4021,chickens,433,Recreation 3,
4022,"chicks, baby",434,Recreation 4,
4024,"chicks, starter",435,Recreation 5,
4026,"cockerels, baby",436,Recreation 6,
4028,"cockerels, starter",437,Recreation 7,
4030,"dogs, all types",438,Recreation 8,
4035,earthworms,439,Recreation 9,
4037,electr id sys inven,440,Golf,
4040,fish:brood/fingerli,441,Golf 1,
4042,fish noc,442,Golf 2,
4045,"fish, tropical",443,Golf 3,
4048,fur bearing animals,444,Golf 4,
4050,goats,445,Golf 5,
4058,hibernat box,446,Golf 6,
4060,hog/swine (breed),447,Golf 7,
4061,hog/swine (comm),448,Golf 8,
4070,horses,449,Golf 9,
4071,"houses/cages, bird",450,Child & Families,
4075,marine life noc,451,Child & Families 1,
4080,mules and donkeys,452,Child & Families 2,
4082,pullets,453,Child & Families 3,
4083,"pullets, baby",454,Child & Families 4,
4084,"pullets, starter",455,Child & Families 5,
4085,rabbits,456,Child & Families 6,
4086,recyc animal supp,457,Child & Families 7,
4087,rodents,458,Child & Families 8,
4088,"reptiles, live",459,Child & Families 9,
4090,sheep,460,Neigborhood Dev.,
4091,"specialty item, show",461,Neigborhood Dev. 1,
4092,"toys:pets, zoo anim",462,Neigborhood Dev. 2,
4093,"turkeys, baby",463,Neigborhood Dev. 3,
4094,"turkeys, starter",464,Neigborhood Dev. 4,
4095,wildlife/pet band,465,Neigborhood Dev. 5,
4096,"zoo animals, all",466,Neigborhood Dev. 6,
4500,appliances & equipme,467,Neigborhood Dev. 7,
4506,applian small elect,468,Neigborhood Dev. 8,
4512,app small non-elec,469,Neigborhood Dev. 9,
4514,"blenders, household",470,PW Facilities,
4515,bread makers,471,PW Facilities 1,
4517,"can openers, house",472,PW Facilities 2,
4518,cleaner hand-operat,473,PW Facilities 3,
4520,coffeemakers (house),474,PW Facilities 4,
4521,cook/food prep house,475,PW Facilities 5,
4522,cookware/bake house,476,PW Facilities 6,
4524,dishwashers,477,PW Facilities 7,
4525,dish/drink utensil,478,PW Facilities 8,
4530,disposal units,479,PW Facilities 9,
4540,flatwa/cutlery:house,480,IT,
4546,"hot plate/burne, hou",481,IT 1,
4547,irons (household),482,IT 2,
4548,"ironing board, table",483,IT 3,
4549,ironing (board) pad,484,IT 4,
4550,kitchen unit compact,485,IT 5,
4551,"mixers, food (house)",486,IT 6,
4552,"oven/micro, house",487,IT 7,
4554,"range, electric",488,IT 8,
4560,"range, gas",489,IT 9,
4564,recycled appliance,490,Proc/Risk Mgm,
4566,refrigerator/freezer,491,Proc/Risk Mgm 1,
4570,"skillets, electric",492,Proc/Risk Mgm 2,
4572,"storage bkt, freezer",493,Proc/Risk Mgm 3,
4573,toasters/tstr ovens,494,Proc/Risk Mgm 4,
4574,"tools, appliance",495,Proc/Risk Mgm 5,
4575,trash compactors,496,Proc/Risk Mgm 6,
4577,"vacuum, manual",497,Proc/Risk Mgm 7,
4578,"vacuum, electric",498,Proc/Risk Mgm 8,
4584,vent hoods (ranges),499,Proc/Risk Mgm 9,
4585,"vent kits, laundry",500,Sheriff,
4592,washer/dryer coin,501,Sheriff 1,
4594,washer/dryer resid,502,Sheriff 2,
4595,"water soften, house",503,Sheriff 3,
5000,art equipment & supp,504,Sheriff 4,
5010,block printing suppl,505,Sheriff 5,
5020,"casters, drying rack",506,Sheriff 6,
5023,coating (artwork),507,Sheriff 7,
5030,cloth,508,Sheriff 8,
5040,draw/paint supplies,509,Sheriff 9,
5043,"glue, paste, art",A01,Central Buyer 1,
5046,letter cutting mach,A02,Central Buyer 2,
5050,engraving/etch equip,A03,Central Buyer 3,
5059,"paper, art, various",A04,Central Buyer 4,
5060,picture frame supp,A05,Central Buyer 5,
5067,"rack, drying",,,
5069,recycled art equip,,,
5080,sculpture equip/sup,,,
5082,decorative art itm,,,
5085,silk screen supply,,,
5087,stained glass supply,,,
5200,art objects,,,
5202,antiques,,,
5208,ceramic/glass obj,,,
5212,collect/museum piece,,,
5214,cut-outs,,,
5216,drawing original,,,
5224,"engraving, reprod",,,
5232,fabric design,,,
5240,masks,,,
5248,mixed media,,,
5250,"murals, canvas",,,
5251,"murals, clay",,,
5252,"murals, glass",,,
5253,"mural, photo",,,
5254,"murals stone, tile",,,
5255,"murals, wall",,,
5256,painting orig,,,
5264,photographs,,,
5272,posters/prints,,,
5276,recycled art objects,,,
5280,sculptures,,,
5288,wood carving/woodcut,,,
5500,auto/truck accessory,,,
5502,air bags-automotive,,,
5504,ac units & parts,,,
5505,anti-theft devices,,,
5506,automobile tops,,,
5508,"belts/seats, safety",,,
5510,brake adjusters,,,
5511,bug screens/shields,,,
5512,cameras-video-police,,,
5513,car seats/infants,,,
5515,chains/traction belt,,,
5516,"consoles, police veh",,,
5517,console access emer,,,
5518,controls/handicap,,,
5520,conversion/cng-lpg,,,
5521,couplings & hitches,,,
5524,cushions/seat covers,,,
5527,emergency kits/auto,,,
5528,"fans, cab",,,
5530,fifth wheels,,,
5532,"gauges, automotive",,,
5533,"grease guns, auto",,,
5534,generators-110v-auto,,,
5535,"gps, track veh",,,
5536,grille guards/crash,,,
5537,headlights-acc/parts,,,
5538,heaters/defrosters,,,
5539,immobilizer devices,,,
5540,interior trim,,,
5543,"labeling sys, auto",,,
5546,lights/lens:back-up,,,
5548,lights/lens:clearanc,,,
5551,lights/lens:directio,,,
5554,lights/lens:emergenc,,,
5556,lights/lens: miniatu,,,
5557,lights/access: flash,,,
5558,lights and lens auto,,,
5561,"mats, floor",,,
5564,mirrors-auto,,,
5566,moisture separators,,,
5567,"mount hardware, auto",,,
5568,"monitors, computer",,,
5569,organizers,,,
5570,power takeoff,,,
5572,gas conversion equip,,,
5574,"racks, vehicle",,,
5575,reel assembly-cable,,,
5576,reflectors,,,
5578,"seats & parts, auto",,,
5579,sirens/horns,,,
5582,splash guards,,,
5583,switches & flashers,,,
5585,"tanks, fuel, auxilia",,,
5586,tank/misc acc/parts,,,
5588,tops/covers-vehicle,,,
5589,warning devices,,,
5590,wheelchair lift/acce,,,
06042,"filters: air, fuel,",,,
07033,"school buses, conven",,,
15570,portable toilets,,,
20016,coats/jackets/vests,,,
20085,"uniforms, blended",,,
20140,"gloves, leather",,,
20142,gloves: latex,,,
20600,computer hw-min/main,,,
20811,"appln sw, microcom",,,
20853,integrated software,,,
20854,internet/web site,,,
20857,law enforcement,,,
21055,paving and stepping,,,
22500,"coolers, drinking wa",,,
28595,wiring devices,,,
28700,electronic component,,,
34007,breathing equip-fire,,,
34060,"hydrants, fire",,,
34500,first aid & safety e,,,
39500,"forms, continuous",,,
43032,gas distribute equip,,,
43033,"gas mixtures, specia",,,
43036,gas regulators and g,,,
44543,"hoes, rakes, weed cu",,,
45006,"batteries, dry cell",,,
48500,"janitorial supplies,",,,
54511,"compactors, trash",,,
55004,"beads, glass: sign a",,,
55036,marking compound (th,,,
55078,traffic cones and tr,,,
55089,traffic signal/parts,,,
55700,transit bus parts,,,
57834,election/voter equip,,,
61500,office supplies (noi,,,
63064,paint-spray/aerosol,,,
65000,"park, playground, &",,,
65804,"pipe, alloy steel",,,
65858,"pipe, polyethylene",,,
65888,"tubing, brass",,,
65933,couplings,,,
65942,ells,,,
65944,flanges/glands/ferru,,,
65950,"laterals, nipples",,,
65954,offsets/plugs,,,
